date,year,month,quarter,week,aggregation_level,price_exaa_mean,price_mc_auction_mean,price_count_exaa,price_count_mc,data_completeness,month_name,carbonprices_exchange_rate_eur_usd,carbonprices_primary_market,carbonprices_secondary_market,climate_cdd_at,climate_hdd_at,climate_cdd_eu,climate_hdd_eu,prod_gross_electricity_production,prod_gross_electricity_consumption,prod_hydropower_production_total,prod_fossil_sk_production,prod_fossil_DvfB_production,prod_fossil_DvOe_production,prod_fossil_gas_production,prod_fossil_subtotal_production,prod_renewable_bio_production,prod_renewable_SoBio_production,prod_other_fuels_production,prod_fuel_production_total,prod_wind_total,prod_pv_total,prod_geothermal_total,prod_power_production_total,prod_electricity_imports,prod_electricity_exports,oegpi_month,oegpi_quarter,oegpi_season,oegpi_year,econ_prod_index_industry,econ_consumer_price_index,econ_exports_total_EUR,econ_turnover_index_commercial_sales,econ_count_overnight_stays,econ_turnover_industry,econ_count_employees_industry,econ_prod_index_construction,econ_total_production_construction,econ_turnover_index_construction,econ_turnover_construction,econ_count_employees_construction,econ_turnover_index_wholesale,econ_turnover_index_retail,econ_count_employees_retail,econ_turnover_index_car_retail,econ_imports_total_EUR,econ_imports_energy_EUR
2009-11-01,2009.0,11.0,4.0,44.0,monthly,,,,,,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8691686002.0,,3560562.0,,,,,,,,,,,,8704317411.0,940118460.0
2009-12-01,2009.0,12.0,4.0,49.0,monthly,,,,,,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7523005210.0,,10147920.0,,,,,,,,,,,,8286343467.0,981359882.0
2010-01-01,2010.0,1.0,1.0,53.0,monthly,,,,,,January,,,,,,,,5263055.0,5952673.0,2638798.0,563830.0,162443.0,178174.0,1930197.0,2834644.0,270806.0,110854.0,46187.0,3262491.0,151564.0,1198.0,157.0,6054727.0,2237737.0,1557469.0,,,,,,,6863980408.0,,13873410.0,,,,,,,,,,,,7249347449.0,881593422.0
2010-02-01,2010.0,2.0,1.0,5.0,monthly,,,,,,February,,,,,,,,4755173.0,5475585.0,2232266.0,563863.0,132333.0,189726.0,1728286.0,2614207.0,249572.0,100224.0,37214.0,3001217.0,209009.0,1921.0,135.0,5444991.0,2112191.0,1399154.0,,,,,,,7816666942.0,,15900751.0,,,,,,,,,,,,8237767790.0,870982002.0
2010-03-01,2010.0,3.0,1.0,9.0,monthly,,,,,,March,,,,,,,,4970011.0,5739045.0,2972489.0,413352.0,145835.0,123088.0,1431062.0,2113337.0,280293.0,109477.0,46480.0,2549586.0,209624.0,3279.0,189.0,5735689.0,2156555.0,1393186.0,,,,,,,9442864564.0,,12613962.0,,,,,,,,,,,,9836292768.0,983039058.0
2010-04-01,2010.0,4.0,2.0,13.0,monthly,,,,,,April,,,,,,,,3926769.0,5061679.0,2696362.0,18629.0,144566.0,69236.0,1156059.0,1388491.0,271781.0,96390.0,51761.0,1808423.0,143561.0,4238.0,93.0,4653079.0,2264880.0,1133872.0,,,,,,,8876482613.0,,6598790.0,,,,,,,,,,,,9141066308.0,1073956129.0
2010-05-01,2010.0,5.0,2.0,17.0,monthly,,,,,,May,,,,,,,,5182773.0,5023582.0,4249245.0,81101.0,160601.0,42430.0,781210.0,1065342.0,278446.0,106467.0,51356.0,1501610.0,185277.0,3387.0,95.0,5940991.0,1186349.0,1345734.0,,,,,,,8891223248.0,,6509397.0,,,,,,,,,,,,9189447287.0,935468152.0
2010-06-01,2010.0,6.0,2.0,22.0,monthly,,,,,,June,,,,,,,,5691266.0,4963576.0,4709266.0,285136.0,165198.0,42557.0,669367.0,1162258.0,262925.0,113185.0,51068.0,1589435.0,183865.0,4292.0,71.0,6488235.0,757343.0,1485727.0,,,,,,,9730402431.0,,8407997.0,,,,,,,,,,,,9916422721.0,915049822.0
2010-07-01,2010.0,7.0,3.0,26.0,monthly,,,,,,July,,,,,,,,5348299.0,5166649.0,4255475.0,456125.0,136425.0,54885.0,660691.0,1308125.0,273104.0,112890.0,44964.0,1739084.0,132493.0,5129.0,89.0,6133397.0,1302186.0,1492609.0,,,,,,,9640401265.0,,14945597.0,,,,,,,,,,,,9552580412.0,1051185788.0
2010-08-01,2010.0,8.0,3.0,30.0,monthly,,,,,,August,,,,,,,,5410771.0,4950225.0,4576475.0,311276.0,121378.0,64973.0,519599.0,1017227.0,270957.0,110035.0,54433.0,1452652.0,125134.0,4017.0,109.0,6159380.0,946009.0,1412592.0,,,,,,,8391109842.0,,16773728.0,,,,,,,,,,,,8961172458.0,1050905069.0
2010-09-01,2010.0,9.0,3.0,35.0,monthly,,,,,,September,,,,,,,,5287416.0,4973523.0,4008104.0,486275.0,123497.0,63426.0,790909.0,1464107.0,255226.0,111494.0,53823.0,1884650.0,163487.0,3536.0,114.0,6062063.0,1250119.0,1570183.0,,,,,,,10082322651.0,,9573457.0,,,,,,,,,,,,10700440468.0,1035421514.0
2010-10-01,2010.0,10.0,4.0,39.0,monthly,,,,,,October,,,,,,,,5130665.0,5333354.0,3084220.0,597269.0,169278.0,74959.0,1427093.0,2268598.0,262461.0,97068.0,55349.0,2683476.0,163534.0,2637.0,121.0,5935214.0,1765458.0,1567758.0,,,,,,,9887960916.0,,6265898.0,,,,,,,,,,,,10382197102.0,1066610796.0
2010-11-01,2010.0,11.0,4.0,44.0,monthly,,,,,,November,,,,,,,,5108830.0,5567729.0,2987291.0,581201.0,163442.0,88488.0,1458751.0,2291882.0,278917.0,104094.0,48042.0,2722935.0,171462.0,1546.0,114.0,5886270.0,1924957.0,1467028.0,,,,,,,10521309307.0,,3841399.0,,,,,,,,,,,,10629954669.0,1102162399.0
2010-12-01,2010.0,12.0,4.0,48.0,monthly,,,,,,December,,,,,,,,5770148.0,6129509.0,3164792.0,555726.0,160087.0,279863.0,1753831.0,2749507.0,281974.0,108783.0,47739.0,3188004.0,224352.0,1433.0,110.0,6581798.0,2004913.0,1646762.0,,,,,,,9227984296.0,,9576378.0,,,,,,,,,,,,9855433161.0,1200765258.0
2011-01-01,2011.0,1.0,1.0,52.0,monthly,,,,,,January,,,,,,,,5506094.0,6020949.0,3064143.0,609388.0,166003.0,207872.0,1667463.0,2650725.0,279330.0,111191.0,54663.0,3095909.0,156955.0,1648.0,117.0,6325416.0,2231257.0,1714642.0,,,,,,,8669790590.0,,14411086.0,,,,,,,,,,,,9650084247.0,1191351105.0
2011-02-01,2011.0,2.0,1.0,5.0,monthly,,,,,,February,,,,,,,,4698479.0,5536965.0,2555693.0,484828.0,155937.0,161247.0,1510005.0,2312018.0,253161.0,101695.0,44222.0,2711097.0,165185.0,2591.0,102.0,5441105.0,2267204.0,1430061.0,,,,,,,9778834465.0,,14835518.0,,,,,,,,,,,,10474807440.0,1113399713.0
2011-03-01,2011.0,3.0,1.0,9.0,monthly,,,,,,March,,,,,,,,4801700.0,5774226.0,2510418.0,648686.0,189074.0,99475.0,1559946.0,2497180.0,277677.0,107359.0,52802.0,2935019.0,184458.0,4587.0,115.0,5639964.0,2377237.0,1406057.0,,,,,,,11337951602.0,,12997363.0,,,,,,,,,,,,11903816869.0,1356243289.0
2011-04-01,2011.0,4.0,2.0,13.0,monthly,,,,,,April,,,,,,,,4188965.0,5058226.0,2809466.0,368996.0,172449.0,59175.0,921263.0,1521883.0,266712.0,105998.0,51244.0,1945838.0,190244.0,5965.0,114.0,4959207.0,2042913.0,1174165.0,,,,,,,9977314034.0,,6401332.0,,,,,,,,,,,,10577902468.0,1288380162.0
2011-05-01,2011.0,5.0,2.0,17.0,monthly,,,,,,May,,,,,,,,4624597.0,5063624.0,3382742.0,293292.0,180324.0,24019.0,918023.0,1415658.0,273477.0,118609.0,58295.0,1866038.0,142574.0,7472.0,92.0,5408965.0,1641839.0,1206816.0,,,,,,,10822881249.0,,5774457.0,,,,,,,,,,,,11381891383.0,1316776092.0
2011-06-01,2011.0,6.0,2.0,22.0,monthly,,,,,,June,,,,,,,,4912880.0,4878461.0,4144525.0,284977.0,181762.0,47957.0,426400.0,941096.0,247130.0,125035.0,59291.0,1372551.0,160675.0,6463.0,70.0,5702176.0,1414142.0,1450287.0,,,,,,,9984544139.0,,9752478.0,,,,,,,,,,,,10580855370.0,1211289863.0
2011-07-01,2011.0,7.0,3.0,26.0,monthly,,,,,,July,,,,,,,,4708285.0,5110840.0,3824399.0,291209.0,193357.0,67996.0,436044.0,988607.0,263251.0,120481.0,62572.0,1434911.0,204887.0,6543.0,67.0,5498332.0,1790820.0,1389037.0,,,,,,,10037657517.0,,14900164.0,,,,,,,,,,,,10811345258.0,1305515655.0
2011-08-01,2011.0,8.0,3.0,31.0,monthly,,,,,,August,,,,,,,,4533459.0,4983612.0,3975757.0,236012.0,179390.0,66871.0,268658.0,750931.0,254541.0,121089.0,62543.0,1189105.0,108088.0,7786.0,50.0,5303822.0,1645218.0,1196101.0,,,,,,,9371035963.0,,17201037.0,,,,,,,,,,,,10626469552.0,1266359527.0
2011-09-01,2011.0,9.0,3.0,35.0,monthly,,,,,,September,,,,,,,,4412204.0,5093232.0,3206331.0,557554.0,116830.0,60101.0,624036.0,1358521.0,243427.0,120198.0,57538.0,1779683.0,138786.0,6445.0,57.0,5156989.0,1788640.0,1110766.0,,,,,,,10977916756.0,,9861609.0,,,,,,,,,,,,11633626502.0,1278951737.0
2011-10-01,2011.0,10.0,4.0,39.0,monthly,,,,,,October,,,,,,,,5003210.0,5473980.0,3382537.0,537415.0,130057.0,67361.0,1027760.0,1762594.0,272060.0,99690.0,56685.0,2191029.0,158245.0,5116.0,84.0,5763902.0,2129798.0,1660555.0,,,,,,,10486238508.0,,6516968.0,,,,,,,,,,,,11226549435.0,1405860925.0
2011-11-01,2011.0,11.0,4.0,44.0,monthly,,,,,,November,,,,,,,,4742426.0,5726782.0,2521531.0,639690.0,125989.0,71710.0,1542485.0,2379873.0,279646.0,106808.0,62616.0,2828943.0,115926.0,3392.0,93.0,5484303.0,2567873.0,1585463.0,,,,,,,10887445395.0,,3982546.0,,,,,,,,,,,,11833350237.0,1435115223.0
2011-12-01,2011.0,12.0,4.0,48.0,monthly,,,,,,December,,,,,,,,4458834.0,6085772.0,2367918.0,463877.0,112546.0,75661.0,1459739.0,2111823.0,284167.0,123017.0,63686.0,2582694.0,208337.0,2007.0,91.0,5181093.0,3079770.0,1453400.0,,,,,,,9441988721.0,,9367993.0,,,,,,,,,,,,10306852067.0,1490415127.0
2012-01-01,2012.0,1.0,1.0,52.0,monthly,,,,,,January,,,,,,,,5452929.0,6025372.0,3301871.0,409524.0,140462.0,62224.0,1471131.0,2083341.0,276137.0,115938.0,68940.0,2544356.0,326124.0,3513.0,79.0,6197865.0,2507498.0,1937183.0,,,,,,,9302308878.0,,14691059.0,,,,,,,,,,,,10276536054.0,1429173901.0
2012-02-01,2012.0,2.0,1.0,5.0,monthly,,,,,,February,,,,,,,,5416525.0,5972476.0,2781806.0,544066.0,131047.0,131080.0,1807867.0,2614060.0,261739.0,109096.0,54321.0,3039216.0,302322.0,6023.0,35.0,6146411.0,2492483.0,1938821.0,,,,,,,10228228617.0,,16648922.0,,,,,,,,,,,,11005733561.0,1453631702.0
2012-03-01,2012.0,3.0,1.0,9.0,monthly,,,,,,March,,,,,,,,5236478.0,5760852.0,3722132.0,366751.0,175817.0,62960.0,1029797.0,1635325.0,292029.0,120911.0,64895.0,2113159.0,226928.0,11818.0,95.0,6076854.0,2534916.0,2013978.0,,,,,,,11184904223.0,,12168100.0,,,,,,,,,,,,11973744092.0,1552745246.0
2012-04-01,2012.0,4.0,2.0,13.0,monthly,,,,,,April,,,,,,,,4701855.0,5206921.0,3727870.0,255285.0,174175.0,54664.0,594370.0,1078495.0,265811.0,108323.0,66275.0,1518904.0,203393.0,13326.0,78.0,5468144.0,2021343.0,1518705.0,,,,,,,10045819472.0,,7450195.0,,,,,,,,,,,,10718121401.0,1548561919.0
2012-05-01,2012.0,5.0,2.0,18.0,monthly,,,,,,May,,,,0.05,143.18,1.93,134.05,5149772.0,5131901.0,4724383.0,81160.0,168644.0,61327.0,229702.0,540833.0,272954.0,119332.0,73367.0,1006486.0,197911.0,17992.0,70.0,5949213.0,1517418.0,1536427.0,,,,,,,10529692965.0,,6757252.0,,,,,,,,,,,,10948897987.0,1384858104.0
2012-06-01,2012.0,6.0,2.0,22.0,monthly,,,,,,June,,,,8.14,56.2,18.99,67.23,5514871.0,4997705.0,5038013.0,40628.0,167065.0,51223.0,348965.0,607881.0,278907.0,118976.0,61739.0,1067504.0,140492.0,18473.0,57.0,6280420.0,1314097.0,1835256.0,,,,,,,10346336846.0,,9316996.0,,,,,,,,,,,,11104085798.0,1383517696.0
2012-07-01,2012.0,7.0,3.0,26.0,monthly,,,,,,July,,,,13.45,36.62,41.82,25.92,5397917.0,5178338.0,4957466.0,172747.0,166677.0,52044.0,199787.0,591255.0,264550.0,119660.0,68041.0,1043506.0,136678.0,18800.0,46.0,6170511.0,1490610.0,1719025.0,,,,,,,10607481252.0,,15201094.0,,,,,,,,,,,,11473355725.0,1433435102.0
2012-08-01,2012.0,8.0,3.0,31.0,monthly,,,,,,August,,,,9.88,25.47,44.96,32.69,4865963.0,5085824.0,4202714.0,401730.0,148753.0,64131.0,238628.0,853242.0,247212.0,118976.0,72274.0,1291704.0,108747.0,22444.0,46.0,5639933.0,1659394.0,1448211.0,,,,,,,9608457236.0,,17531141.0,,,,,,,,,,,,10518064938.0,1408047309.0
2012-09-01,2012.0,9.0,3.0,35.0,monthly,,,,,,September,,,,0.06,116.91,6.59,98.6,5091397.0,5195287.0,4112653.0,538096.0,132358.0,58763.0,348203.0,1077420.0,251730.0,111524.0,59707.0,1500380.0,202858.0,16917.0,74.0,5833029.0,1751446.0,1650726.0,,,,,,,10706541026.0,,10237626.0,,,,,,,,,,,,10858055516.0,1376986948.0
2012-10-01,2012.0,10.0,4.0,40.0,monthly,,,,,,October,,,,0.0,286.69,0.49,232.69,5436320.0,5528277.0,3969923.0,543213.0,149086.0,26112.0,867187.0,1585598.0,280418.0,113239.0,62300.0,2041555.0,178547.0,13267.0,67.0,6210689.0,1921772.0,1834789.0,,,,,,,11359560158.0,,6655047.0,,,,,,,,,,,,12152624998.0,1526421180.0
2012-11-01,2012.0,11.0,4.0,44.0,monthly,,,,,,November,,,,0.0,392.49,0.03,342.04,5539955.0,5696151.0,3717439.0,516248.0,148462.0,52036.0,1186266.0,1903012.0,277409.0,117903.0,68635.0,2366959.0,218630.0,7888.0,21.0,6315564.0,1953548.0,1793081.0,,,,,,,10870410229.0,,4167276.0,,,,,,,,,,,,11511755015.0,1421709684.0
2012-12-01,2012.0,12.0,4.0,48.0,monthly,,,,,,December,,,,0.0,597.1,0.0,546.63,5392778.0,6257330.0,3361378.0,530520.0,131773.0,64485.0,1334508.0,2061287.0,285599.0,120857.0,70516.0,2538259.0,217956.0,7359.0,10.0,6135161.0,2265188.0,1400546.0,,,,,,,8753786402.0,,10191374.0,,,,,,,,,,,,9441061464.0,1378321486.0
2013-01-01,2013.0,1.0,1.0,1.0,monthly,,,,,,January,,,,0.0,592.94,0.0,549.66,5759112.0,6391004.0,3580727.0,545923.0,149183.0,63882.0,1429575.0,2188563.0,277062.0,114519.0,64769.0,2644913.0,287935.0,8218.0,10.0,6532527.0,2386183.0,1761816.0,,,,,,,9887838342.0,,14337174.0,,,,,,,,,,,,10452921498.0,1191282120.0
2013-02-01,2013.0,2.0,1.0,5.0,monthly,,,,,,February,,,,0.0,559.8,0.0,472.51,4966723.0,5613538.0,3260033.0,480395.0,137442.0,54087.0,1032572.0,1704496.0,264798.0,106451.0,49927.0,2125671.0,233632.0,12891.0,17.0,5648526.0,2204356.0,1560148.0,,,,,,,9938726018.0,,17087179.0,,,,,,,,,,,,10058700197.0,1134022751.0
2013-03-01,2013.0,3.0,1.0,9.0,monthly,,,,,,March,,,,0.0,513.34,0.0,496.2,4939319.0,6046710.0,3324829.0,485507.0,147836.0,73586.0,828513.0,1535442.0,277703.0,119120.0,58713.0,1990978.0,342661.0,25294.0,16.0,5696314.0,2608615.0,1504946.0,,,,,,,10746779625.0,,14113258.0,,,,,,,,,,,,11200456445.0,1218703677.0
2013-04-01,2013.0,4.0,2.0,14.0,monthly,,,,,,April,,,,0.0,273.61,0.06,280.07,5041641.0,5380810.0,4008281.0,376449.0,166747.0,63218.0,481752.0,1088166.0,257082.0,112681.0,63824.0,1521753.0,212851.0,32505.0,3.0,5785766.0,1739761.0,1403274.0,,,,,,,11038761881.0,,5662694.0,,,,,,,,,,,,11122533589.0,1207473817.0
2013-05-01,2013.0,5.0,2.0,18.0,monthly,,,,,,May,,,,0.0,184.3,0.44,143.0,5856103.0,5094481.0,5314146.0,59669.0,173351.0,44417.0,238708.0,516145.0,264489.0,119106.0,70472.0,970212.0,284116.0,37341.0,8.0,6619907.0,1074118.0,1837895.0,,,,,,,10397851209.0,,7163568.0,,,,,,,,,,,,10552096152.0,1106864386.0
2013-06-01,2013.0,6.0,2.0,22.0,monthly,,,,,,June,,,,10.75,103.51,12.45,53.52,5103523.0,5157124.0,4638010.0,35021.0,137505.0,58083.0,141273.0,371882.0,266836.0,97157.0,60036.0,795911.0,288706.0,45127.0,24.0,5780101.0,1450631.0,1398436.0,,,,,,,10450884365.0,,8813317.0,,,,,,,,,,,,10599126149.0,1129049668.0
2013-07-01,2013.0,7.0,3.0,27.0,monthly,,,,,,July,,,,14.73,14.93,31.92,18.16,4882908.0,5130945.0,4370833.0,164587.0,172897.0,56922.0,130914.0,525320.0,276214.0,124319.0,67183.0,993037.0,168858.0,59435.0,2.0,5603465.0,1663825.0,1417494.0,,,,,,,11081292467.0,,15476393.0,,,,,,,,,,,,11949958899.0,1315006210.0
2013-08-01,2013.0,8.0,3.0,31.0,monthly,,,,,,August,,,,21.15,36.53,34.92,25.46,4102359.0,5135659.0,3431676.0,309858.0,148251.0,52406.0,150319.0,660834.0,262455.0,126305.0,72490.0,1122083.0,162994.0,50873.0,31.0,4774816.0,1981613.0,949061.0,,,,,,,9044747893.0,,18175126.0,,,,,,,,,,,,9969559585.0,1289283319.0
2013-09-01,2013.0,9.0,3.0,35.0,monthly,,,,,,September,,,,0.0,138.87,4.96,101.93,4543949.0,5231165.0,3618711.0,439250.0,160562.0,54607.0,241183.0,895602.0,247358.0,113543.0,58229.0,1314732.0,241486.0,35895.0,46.0,5218865.0,1916091.0,1230311.0,,,,,,,10979545687.0,,10051922.0,,,,,,,,,,,,11286157616.0,1252188879.0
2013-10-01,2013.0,10.0,4.0,40.0,monthly,,,,,,October,,,,0.0,249.51,0.33,199.35,4580582.0,5717770.0,3419866.0,486915.0,170774.0,63173.0,421695.0,1142557.0,280293.0,120948.0,59321.0,1603120.0,228975.0,32537.0,51.0,5289214.0,2646653.0,1515845.0,,,,,,,12229116495.0,,6780680.0,,,,,,,,,,,,12326470692.0,1363333195.0
2013-11-01,2013.0,11.0,4.0,44.0,monthly,,,,,,November,,,,0.0,437.72,0.01,359.73,5233038.0,5830224.0,3722710.0,408769.0,164365.0,51529.0,721495.0,1346158.0,274584.0,116474.0,56921.0,1794136.0,355342.0,15760.0,44.0,5900173.0,2236362.0,1641258.0,,,,,,,10671678971.0,,4253931.0,,,,,,,,,,,,11274952192.0,1274915477.0
2013-12-01,2013.0,12.0,4.0,48.0,monthly,,,,,,December,,,,0.0,530.37,0.0,460.5,4603567.0,6187522.0,2980737.0,410446.0,165293.0,56065.0,806725.0,1438528.0,281321.0,123362.0,55099.0,1898310.0,343694.0,18982.0,54.0,5255840.0,3051362.0,1468631.0,,,,,,,9344364778.0,,10713790.0,,,,,,,,,,,,9913742602.0,1275867137.0
2014-01-01,2014.0,1.0,1.0,1.0,monthly,,,,,,January,,,,0.0,525.25,0.0,511.29,4229981.0,6273173.0,2671172.0,414340.0,153825.0,54947.0,809462.0,1432574.0,251217.0,124991.0,66474.0,1875257.0,302887.0,18194.0,55.0,4881415.0,3090557.0,1049759.0,,,,,,,10006784599.0,,13890428.0,,,,,,,,,,,,10606268722.0,1172652929.0
2014-02-01,2014.0,2.0,1.0,5.0,monthly,,,,,,February,,,,0.0,439.82,0.0,382.78,3694464.0,5650107.0,2396752.0,283436.0,137882.0,53662.0,667100.0,1142080.0,225134.0,112171.0,61415.0,1540799.0,319603.0,30801.0,58.0,4297528.0,3126746.0,1172425.0,,,,,,,10134861174.0,,15560473.0,,,,,,,,,,,,10877943260.0,1117233720.0
2014-03-01,2014.0,3.0,1.0,9.0,monthly,,,,,,March,,,,0.0,357.54,0.0,342.12,4097275.0,5774327.0,3017790.0,206478.0,163099.0,58335.0,496211.0,924123.0,253758.0,117948.0,57264.0,1353092.0,347087.0,59662.0,64.0,4788208.0,3014067.0,1343683.0,,,,,,,11334445689.0,,13143730.0,,,,,,,,,,,,11282767817.0,1164597538.0
2014-04-01,2014.0,4.0,2.0,14.0,monthly,,,,,,April,,,,0.0,247.32,0.02,227.88,4356645.0,5266478.0,3641399.0,151347.0,164449.0,46562.0,314646.0,677004.0,244873.0,101628.0,61687.0,1085192.0,269277.0,61909.0,53.0,5059831.0,2033318.0,1123906.0,,,,,,,11051066676.0,,6930938.0,,,,,,,,,,,,11063189217.0,974865277.0
2014-05-01,2014.0,5.0,2.0,18.0,monthly,,,,,,May,,,,0.05,190.67,0.28,153.05,5626732.0,5286990.0,4823719.0,48823.0,166766.0,55830.0,321007.0,592426.0,239796.0,105783.0,68141.0,1006146.0,454333.0,72373.0,35.0,6367167.0,1236674.0,1581580.0,,,,,,,10456276104.0,,6671128.0,,,,,,,,,,,,10686263656.0,1048782567.0
2014-06-01,2014.0,6.0,2.0,22.0,monthly,,,,,,June,,,,2.84,66.99,8.14,63.52,4755571.0,5079208.0,4288200.0,26764.0,160669.0,51978.0,239774.0,479185.0,248447.0,102358.0,71048.0,901038.0,191959.0,89535.0,26.0,5481067.0,1748248.0,1425797.0,,,,,,,10532970328.0,,10103775.0,,,,,,,,,,,,10596333878.0,1119607288.0
2014-07-01,2014.0,7.0,3.0,27.0,monthly,,,,,,July,,,,4.8,36.09,20.74,11.44,4953499.0,5258165.0,4389071.0,50828.0,166020.0,56957.0,197430.0,471234.0,267804.0,107383.0,80990.0,927411.0,260423.0,81946.0,14.0,5674399.0,1632352.0,1330104.0,,,,,,,11244299054.0,,14785517.0,,,,,,,,,,,,11296819542.0,1147212254.0
2014-08-01,2014.0,8.0,3.0,31.0,monthly,,,,,,August,,,,1.28,67.1,23.63,41.16,5385268.0,5041348.0,4857431.0,107055.0,175979.0,46492.0,133176.0,462701.0,257838.0,96720.0,75170.0,892429.0,242061.0,72333.0,16.0,6081560.0,1359876.0,1705382.0,,,,,,,8920852917.0,,18513442.0,,,,,,,,,,,,9393138862.0,1127124233.0
2014-09-01,2014.0,9.0,3.0,36.0,monthly,,,,,,September,,,,0.0,116.31,5.47,82.35,5381742.0,5199279.0,4524284.0,331922.0,157302.0,27104.0,269838.0,786166.0,248595.0,97197.0,61231.0,1193190.0,297948.0,58744.0,8.0,6079140.0,1636966.0,1827744.0,,,,,,,11387209072.0,,10063979.0,,,,,,,,,,,,11380541389.0,1040516457.0
2014-10-01,2014.0,10.0,4.0,40.0,monthly,,,,,,October,,,,0.0,215.68,0.67,193.38,4633640.0,5720001.0,3456835.0,482172.0,185675.0,22951.0,427952.0,1118749.0,265122.0,88424.0,58339.0,1530633.0,267115.0,51026.0,3.0,5315431.0,2815359.0,1728183.0,,,,,,,11856451578.0,,7075664.0,,,,,,,,,,,,11929601994.0,1112288580.0
2014-11-01,2014.0,11.0,4.0,44.0,monthly,,,,,,November,,,,0.0,345.7,0.01,331.01,5148606.0,5736162.0,3610878.0,486324.0,167458.0,59335.0,592611.0,1305729.0,264461.0,92054.0,58288.0,1720532.0,400780.0,27358.0,29.0,5785949.0,2191553.0,1603234.0,,,,,,,11328635989.0,,4290249.0,,,,,,,,,,,,10747533358.0,1113913229.0
2014-12-01,2014.0,12.0,4.0,49.0,monthly,,,,,,December,,,,0.0,518.51,0.0,475.55,4865563.0,6146331.0,3052269.0,364034.0,152048.0,65211.0,888882.0,1470175.0,267761.0,105238.0,62698.0,1905872.0,491384.0,23348.0,23.0,5489163.0,2826007.0,1545202.0,,,,,,,9852176332.0,,10871416.0,,,,,,,,,,,,9986846371.0,871189056.0
2015-01-01,2015.0,1.0,1.0,1.0,daily,44.0,,96.0,0.0,100.0,January,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
